KO,growth
PMD1,0.2166575
PML1,0.0780518
PML39,0.0161014
PMS1,0.1619456
PNC1,0.0071319
POC4,0.3358673
POG1,0.2078199
POL32,0.0002735
POL4,0.0097876
POM152,0.0047692
POM34,0.1220919
PPG1,-0.0641
PPH21,-0.0028
PPH22,0.0106
PPH3,0.0107
PPQ1,0.0871
PPR1,0.1508821
PPS1,-0.0208
PPT1,-0.0205
PPZ1,0.0003
PPZ2,-0.0089
PRE9,0.4461179
PRK1,0.016
PRM3,0.0458037
PRM5,-0.02173
PRR1,0.0269
PRR2,0.0211
PSK2,-0.0166
PSO2,-0.0139261
PSR1,-0.0551
PSR2,-0.037
PSY2,-0.0384741
PTC1,0.7737
PTC2,-0.0483
PTC3,-0.0408
PTC4,-0.0284
PTC5,0.0137
PTC7,-0.0288
PTH2,-0.0191723
PTK1,-0.004
PTK2,0.0054
PTP1,-0.0099
PTP2,0.0031
PUF2,0.044401
PUF3,0.0487115
PUF4,0.0679041
PUF6,0.2391841
PUS1,0.0578801
PUS7,0.0527509
PUS9,-0.0214027
PUT1,-0.0317219
PUT3,-0.1526926
PYC2,-0.0562107
RAD1,0.2528102
RAD10,0.0208726
RAD17,0.1028436
RAD18,-0.0144031
RAD23,0.0341771
RAD24,0.2464529
RAD27,0.2110823
RAD30,0.0062198
RAD33,-0.0126654
RAD34,0.0396587
RAD4,0.2270747
RAD50,0.2843543
RAD54,0.1562405
RAD55,0.1669775
RAD59,-0.0816913
RAD6,0.5758603
RAD9,0.1603145
RAI1,0.916596
RBG2,0.0138262
RCK1,-0.0562
RCK2,0.0612
RCO1,0.0017119
RDH54,0.0791055
RDI1,-0.0289317
RDR1,-0.0679995
RDS1,0.091722
RDS2,0.0934858
REC104,0.0078202
REC114,-0.0466526
REC8,-0.0586459
REH1,0.0337035
REV3,-0.0400794
REX2,0.0465613
REX3,-0.0099254
REX4,0.0289704
RFM1,-0.0134874
RFX1,-0.170875
RGM1,0.0753233
RGP1,0.3581684
RGT1,-0.0236126
RIC1,0.2609267
RIF1,0.0273405
RIF2,-0.110608
RIM1,0.2093252
RIM11,0.0399
RIM15,0.0067
RIM4,0.0562475
RLM1,0.0569885
RME1,-0.016534
RMI1,0.2368531
RNH1,0.1545846
RNH70,0.0696792
RNP1,-0.0027723
RNR4,0.3302266
RNY1,0.3186322
ROX1,0.0001599
RPA12,0.4094205
RPA14,0.1406928
RPA49,0.2718364
RPB9,0.9898006
RPD3,0.2138069
RPI1,0.0426443
RPN10,0.2680178
RPN14,-0.0797791
RPN4,0.1604647
RRD1,-0.0700487
RRI1,0.0574023
RRI2,-0.0050356
RRM3,0.0128359
RRP6,0.6815247
RRP8,0.2890396
RRT14,0.0365779
RSA1,0.5165644
RSA3,0.085542
